"","title","link","address","lat","long","date_opened","date_closed","descr","closed_status"
"180","Illegal Parking at 515 Park Dr","https://311.boston.gov/reports/101002085939","519 Park Dr, Boston",42.3481464075608,-71.1057874040714,2017-05-11 19:00:00,2017-05-11 19:34:00,"Car in bike lane 
The user entered the address: 515 Park Dr, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/3406686","Case Noted"
"181","Damaged Sign at 448 Park Dr","https://311.boston.gov/reports/101002064408","448 Park Dr, Boston",42.3453447565916,-71.1044324370206,2017-04-14 09:05:00,2017-04-26 07:06:00,"Lane markings completely gone. Needs repaint quickly, creating unsafe conditions for bike and motorists. Similar case 101001919332 was noted 198 days ago and not followed up upon yet. Thank you","Case Noted. Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is in poor condition. A new Service Request has been created 101002072742 and will be added to an active list for re-painting, weather condition pending."
"182","Litter at 1 Jewish War Veterans Dr, Jamaica Plain","https://311.boston.gov/reports/101002067586","Blue Hill Avenue",42.301969,-71.089272,2017-04-19 09:46:00,2017-04-21 06:30:00,"Please street sweep Circuit Dr in Franklin Park. There are several spots where the bike lane is covered in an inch of sand.","Case Resolved. the spot where there was a problem has been clean,."
"183","Illegal Parking at 504 Park Dr","https://311.boston.gov/reports/101002069132","504 Park Dr, Apt 1, Boston",42.3473494733147,-71.1055919901199,2017-04-20 18:03:00,2017-04-20 18:17:00,"Bike lane","Case Noted. officer states vehicle in traffic at red light will monitor."
"184","Illegal Parking at 949 Commonwealth Ave","https://311.boston.gov/reports/101002068749","949 Commonwealth Ave, Boston",42.351976,-71.118455,2017-04-20 11:27:00,2017-04-20 12:07:00,"All meters are red. Everyone 8s parked illegally. Now i cant park :/","Case Noted. all meters are paid in area, could be paid by phone app also 1  tagged for a bike lane violation."
"185","Litter at Intersection Of Franklin Park Rd & Glen Ln, Jamaica Plain","https://311.boston.gov/reports/101002064806","Intersection Of Franklin Park Rd & Glen Ln, Jamaica Plain",42.3022410074674,-71.0873774745753,2017-04-14 15:27:00,2017-04-19 11:40:00,"Type of debris: Requestformechanicalsweeping | Details: Request to sweep bike lane along Jewish War Memorial Drive between Franklin Park Zoo and the Golf Course. This is a particular section captured in the photo which is just passed the Zoo parking lot opp. the golf course. Thank you in advance for your assistance with this request. | Cars parked on the street: No","Case Noted. We sent our sweeper to do it."
"186","Other at 11-21 Western Ave","https://311.boston.gov/reports/101001970545","bike lane markings heading west on Western Ave from 1 Western Avenue to just beyond the Harvard Innovation Lab are as good as nonexistent. Cars (and off duty Harvard Shuttle Busses) park here regularly. This is what it looks like if you're in a car at the light on the bridge during daylight hours. Please repaint before someone dies. Cars come FLYING through here.  
The user entered the 11-21 Western Ave, Boston, MA 02163, USA to see more details visit: http://seeclickfix.com/issues/3103484",42.3641290302888,-71.1187794179473,2016-12-14 22:00:00,2017-04-18 14:52:00,"bike lane markings heading west on Western Ave from 1 Western Avenue to just beyond the Harvard Innovation Lab are as good as nonexistent. Cars (and off duty Harvard Shuttle Busses) park here regularly. This is what it looks like if you're in a car at the light on the bridge during daylight hours. Please repaint before someone dies. Cars come FLYING through here.  
The user entered the address: 11-21 Western Ave, Boston, MA 02163, USA to see more details visit: http://seeclickfix.com/issues/3103484","Case Noted. The Boston Transportation Department will evaluate this location for re-striping. If the markings are found to be in poor condition, we will add it to our queue of bike facility maintenance projects."
"187","Other at 11-21 Western Ave","https://311.boston.gov/reports/101001970545","1 Western Ave, Boston",42.3641290302888,-71.1187794179473,2016-12-14 22:00:00,2017-04-18 14:52:00,"bike lane markings heading west on Western Ave from 1 Western Avenue to just beyond the Harvard Innovation Lab are as good as nonexistent. Cars (and off duty Harvard Shuttle Busses) park here regularly. This is what it looks like if you're in a car at the light on the bridge during daylight hours. Please repaint before someone dies. Cars come FLYING through here.  
The user entered the address: 11-21 Western Ave, Boston, MA 02163, USA to see more details visit: http://seeclickfix.com/issues/3103484","Case Noted. The Boston Transportation Department will evaluate this location for re-striping. If the markings are found to be in poor condition, we will add it to our queue of bike facility maintenance projects."
"188","New Sign, Crosswalk or Marking at 700 704 Beacon St","https://311.boston.gov/reports/101001909986","700 704 Beacon St, Boston",42.3484999999761,-71.0993699996216,2016-09-15 18:25:00,2017-04-18 14:45:00,"Type of request: Pavement Marking | Details: This request is for the Beacon St. Overpass that starts at the Commonwealth Ave. intersection and is adjacent to Fenway Park. On both sides of the Overpass the bicycle lane paint is no longer observable. Furthermore, with so many cars parked on either side of the Overpass for the baseball season, there is a real danger to cyclists who have cars to their right (who could swing open their doors at any moment) and extremely fast traffic to their left. I would strongly advise re-painting the bike lane demarcations to show all drivers that it is a bike lane. I would also strongly advise erecting signs in the area to indicate to parked cars that they should look for cyclists before opening their doors. Please protect the lives of cyclists in Boston! Thank you, Linda","Case Noted. The Boston Transportation Department will evaluate this location for re-striping. If the markings are found to be in poor condition, we will add it to our queue of bike facility maintenance projects."
"189","New Sign, Crosswalk or Marking at Intersection Of Washington St & Washington Street Pl, Hyde Park","https://311.boston.gov/reports/101001541200","Intersection Of Washington St & Washington Street Pl, Hyde Park",42.2442345266834,-71.1232180570483,2015-08-26 14:22:00,2017-04-18 11:27:00,"Type of request: Pavement Marking | Details: Caller requests bike lane to be painted on Washington St","Case Noted. Thank you for requesting a new bike facility in this area. We will add it to our list to evaluate and consider for future planning and design. We will prioritize requests based on their connections to the existing bike network, ability to fill a gap in facilities, or fulfill bike facilities in master plans. The planning and design process will include community meetings and site visits to develop a preferred, final design. Stay up to date on current bike projects within the Boston Transportation Department by visiting boston.gov/bikes."
"190","Illegal Parking at 1134 Washington St","https://311.boston.gov/reports/101002060095","1140 Washington St, 3a, Roxbury",42.3437564076677,-71.0660757131955,2017-04-10 07:35:00,2017-04-12 08:11:00,"This public works employee through Millennium -parks here blocking the bike lane to get his dunkin almost every morning. This early in the am and sometimes earlier leaving the street sweeper motor running in front of residential buildings.Truck #P17. I will be forwarding a complaint to constituent services in city hall.","Case Noted. The employee has been spoken to not park in any bike lanes."
"191","Other at 417 429 Old Colony Ave, South Boston","https://311.boston.gov/reports/101002062100","417 429 Old Colony Ave, South Boston",42.3260771403564,-71.0522213954177,2017-04-11 18:42:00,NA,"Bike lanes are causing a lot of dangerous problems. People park along side the bike lane and open their door and it makes it dangerous as car driver exits and could be hit by a bike. Also, it causes regular traffic to be slowed down by not having the extra lane. It's time to eliminate these bike lanes.",NA
"192","Illegal Parking at 47-55 Western Ave","https://311.boston.gov/reports/101002060449","Intersection Of East Dr & Western Ave, Boston",42.3640336839255,-71.1213591512513,2017-04-10 10:52:00,2017-04-10 11:38:00,"Every morning on my way to work construction vehicles are blocking the bike lane when there is clearly a sign at each end of the staging area that says do not park in the bike lane","Case Noted. Clear now."
